"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C17","100uF","","ELEC4907:100uF_RadialCap","3",""
"C2,C3","330uF","","ELEC4907:330uF_radialCap","2",""
"C5,C7,C8,C13,C16","1uF","-- mixed values --","-- mixed values --","5",""
"C6","0.47uF","","ELEC4907:0.47uF_cap","1",""
"C9,C15","10uF","-- mixed values --","-- mixed values --","2",""
"C10,C11,C12","100pF","~","ELEC4907:Disc_Cap_P5mm","3",""
"C14","150pF","~","ELEC4907:Disc_Cap_P5mm","1",""
"D1,D2","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"DC_ADJUST1,PREAMP_GAIN1,R1,R7,VR1","100k","-- mixed values --","-- mixed values --","5",""
"IC1","XR2206CP-F","https://componentsearchengine.com/Datasheets/1/XR2206CP-F.pdf","ELEC4907:DIP794W56P254L2013H533Q16N","1",""
"J1,J3,J10","RF2-04A-T-00-50-G","RF2-04A-T-00-50-G","ELEC4907:CONN_RF2-04A-T-00-50-G_ADM","3",""
"J2,J4,J5,J6,J7,J8,J9,J11,J12,L1,L2","~","","-- mixed values --","11",""
"R2","39k","~","ELEC4907:resistor","1",""
"R3","33k","~","ELEC4907:resistor","1",""
"R4,R5","4.7k","~","ELEC4907:resistor","2",""
"R6,R14","82k","~","ELEC4907:resistor","2",""
"R8,R10,R12,R13","27k","~","ELEC4907:resistor","4",""
"R9,R17","1M","~","ELEC4907:resistor","2",""
"R11","220","~","ELEC4907:resistor","1",""
"R15","43k","~","ELEC4907:resistor","1",""
"R16,R19","10k","~","ELEC4907:resistor","2",""
"R18","5.6k","~","ELEC4907:resistor","1",""
"R20","560k","~","ELEC4907:resistor","1",""
"R21","1.5k","~","ELEC4907:resistor","1",""
"R22","390","~","ELEC4907:resistor","1",""
"R23","0","~","ELEC4907:resistor","1",""
"U1","LM2575T-3.3","","ELEC4907:(3v3)TO170P470X1016X2092-5P","1",""
"U3","LT1214CN-PBF","LT1214CN-PBF","ELEC4907:PDIP-14_N_LIT","1",""
"U4","LM317T","LM317T","ELEC4907:TO-220_STM","1",""
"U5","LM2575S-5.0/NOPB","LM2575S-5.0/NOPB","ELEC4907:KTT0005B","1",""
"VR2,VR4","25k","","ELEC4907:TRIM_3296W-1-503LF","2",""
"VR3","50k","","ELEC4907:TRIM_3296W-1-503LF","1",""
